Age,Gender,Low_Sodium_Diet,Diet_Condition,Dining_Frequency,Low_Sodium_Satisfaction,Add_Salt_Condiments,Taste_Enhancement_Tech_Aware,Interest_In_Device,Importance_Of_Taste_Enhancement,Expected_Device_Features,Purchase_Consideration,Concerns_On_Technology,Salt_Usage_Dal_Gojju_Palya,Salt_Usage_Sambar_Rasam_Curd,Salt_Usage_Biryani_Pulao_Rice,Salt_Usage_Curry,Salt_Usage_Snacks,Salt_Usage_Roti_Paratha,Salt_Usage_Pickles_Papad,Salt_Opinion
29,Other,No,None,Monthly,No,Sometimes,Yes,Yes,Moderately Important,"Adjustable intensity, Portable design",No,Price,¼ tsp,½ tsp,½ tsp,More than 1 tsp,More than 1 tsp,¼ tsp,More than 1 tsp,Perfect
43,Other,Yes,Other,Daily,No,Never,No,No,Not Important,"Dietary tracking features, Adjustable intensity",Maybe,Safety,More than 1 tsp,¼ tsp,1 tsp,1 tsp,No Salt,½ tsp,¼ tsp,Too Bland
55,Female,No,None,Monthly,Sometimes,Never,Yes,Yes,Not Important,"Adjustable intensity, Mobile app integration",Maybe,Price,No Salt,More than 1 tsp,More than 1 tsp,1 tsp,½ tsp,More than 1 tsp,No Salt,Too Salty
29,Female,No,None,Daily,Sometimes,Always,No,No,Moderately Important,"Adjustable intensity, Dietary tracking features",Yes,Safety,More than 1 tsp,No Salt,¼ tsp,¼ tsp,1 tsp,More than 1 tsp,½ tsp,Too Salty
57,Other,No,None,Weekly,Yes,Never,No,No,Not Important,"Mobile app integration, Portable design",Maybe,Effectiveness,No Salt,More than 1 tsp,No Salt,More than 1 tsp,More than 1 tsp,1 tsp,¼ tsp,Too Salty
21,Female,Yes,Hypertension,Monthly,Yes,Sometimes,Yes,Yes,Moderately Important,"Dietary tracking features, Mobile app integration",No,Price,1 tsp,1 tsp,1 tsp,More than 1 tsp,¼ tsp,¼ tsp,1 tsp,Perfect
30,Other,No,None,Monthly,No,Always,No,Yes,Very Important,"Adjustable intensity, Dietary tracking features",Maybe,,¼ tsp,1 tsp,1 tsp,¼ tsp,No Salt,¼ tsp,1 tsp,Too Salty
68,Other,No,None,Weekly,No,Never,No,No,Moderately Important,"Mobile app integration, Adjustable intensity",Yes,Price,More than 1 tsp,No Salt,More than 1 tsp,1 tsp,¼ tsp,More than 1 tsp,½ tsp,Too Salty
52,Other,No,None,Daily,Yes,Never,No,No,Very Important,"Dietary tracking features, Mobile app integration",Yes,Safety,More than 1 tsp,½ tsp,1 tsp,More than 1 tsp,No Salt,More than 1 tsp,More than 1 tsp,Perfect
33,Female,Yes,Other,Daily,No,Never,Yes,No,Moderately Important,"Dietary tracking features, Mobile app integration",Maybe,Effectiveness,1 tsp,½ tsp,½ tsp,½ tsp,¼ tsp,No Salt,More than 1 tsp,Too Bland
37,Other,No,None,Daily,Sometimes,Sometimes,Yes,Yes,Not Important,"Mobile app integration, Dietary tracking features",Maybe,,½ tsp,1 tsp,No Salt,¼ tsp,More than 1 tsp,No Salt,½ tsp,Too Salty
26,Other,No,None,Monthly,No,Always,Yes,Yes,Not Important,"Portable design, Mobile app integration",No,Effectiveness,¼ tsp,½ tsp,¼ tsp,1 tsp,¼ tsp,More than 1 tsp,No Salt,Too Salty
23,Male,Yes,None,Rarely,No,Always,No,Yes,Very Important,"Mobile app integration, Adjustable intensity",Maybe,Effectiveness,No Salt,No Salt,¼ tsp,1 tsp,1 tsp,1 tsp,½ tsp,Too Salty
65,Other,Yes,None,Rarely,No,Sometimes,Yes,No,Very Important,"Mobile app integration, Portable design",No,Effectiveness,More than 1 tsp,No Salt,No Salt,More than 1 tsp,½ tsp,1 tsp,More than 1 tsp,Too Bland
35,Female,No,None,Monthly,Yes,Sometimes,No,No,Not Important,"Portable design, Mobile app integration",Maybe,Safety,More than 1 tsp,½ tsp,¼ tsp,½ tsp,More than 1 tsp,No Salt,No Salt,Perfect
18,Female,Yes,Hypertension,Rarely,No,Always,No,No,Very Important,"Adjustable intensity, Dietary tracking features",Maybe,,No Salt,More than 1 tsp,¼ tsp,More than 1 tsp,No Salt,No Salt,No Salt,Too Bland
26,Female,Yes,Hypertension,Weekly,No,Sometimes,No,Yes,Not Important,"Dietary tracking features, Portable design",No,Effectiveness,½ tsp,¼ tsp,No Salt,½ tsp,No Salt,1 tsp,1 tsp,Too Salty
21,Female,No,None,Weekly,No,Always,No,Yes,Not Important,"Dietary tracking features, Adjustable intensity",Maybe,Price,No Salt,¼ tsp,More than 1 tsp,1 tsp,¼ tsp,More than 1 tsp,No Salt,Too Salty
63,Female,Yes,Hypertension,Daily,Yes,Never,No,No,Very Important,"Dietary tracking features, Adjustable intensity",Maybe,,No Salt,1 tsp,½ tsp,¼ tsp,½ tsp,1 tsp,More than 1 tsp,Perfect
50,Other,No,None,Rarely,No,Sometimes,Yes,Yes,Very Important,"Dietary tracking features, Mobile app integration",No,,More than 1 tsp,More than 1 tsp,½ tsp,½ tsp,½ tsp,1 tsp,No Salt,Too Bland
59,Male,No,None,Monthly,Yes,Sometimes,No,Yes,Very Important,"Adjustable intensity, Portable design",Maybe,Safety,½ tsp,1 tsp,No Salt,½ tsp,1 tsp,No Salt,1 tsp,Too Bland
30,Male,Yes,Kidney Disease,Daily,Sometimes,Never,Yes,No,Moderately Important,"Adjustable intensity, Mobile app integration",Maybe,Effectiveness,1 tsp,More than 1 tsp,1 tsp,No Salt,No Salt,½ tsp,No Salt,Too Salty
68,Other,Yes,None,Daily,Yes,Never,No,Yes,Not Important,"Portable design, Adjustable intensity",Yes,Safety,1 tsp,No Salt,1 tsp,More than 1 tsp,No Salt,¼ tsp,¼ tsp,Perfect
29,Other,Yes,Other,Daily,No,Never,Yes,Yes,Very Important,"Adjustable intensity, Portable design",Maybe,Safety,No Salt,¼ tsp,1 tsp,½ tsp,1 tsp,½ tsp,No Salt,Too Bland
54,Other,Yes,Other,Weekly,Yes,Never,Yes,No,Very Important,"Adjustable intensity, Portable design",Yes,Price,¼ tsp,½ tsp,More than 1 tsp,¼ tsp,1 tsp,¼ tsp,More than 1 tsp,Perfect
26,Male,No,None,Weekly,Yes,Sometimes,Yes,Yes,Very Important,"Portable design, Adjustable intensity",Maybe,Effectiveness,1 tsp,1 tsp,¼ tsp,¼ tsp,¼ tsp,½ tsp,More than 1 tsp,Too Salty
44,Male,Yes,Hypertension,Weekly,Sometimes,Sometimes,Yes,No,Moderately Important,"Dietary tracking features, Adjustable intensity",Maybe,Safety,¼ tsp,No Salt,More than 1 tsp,No Salt,More than 1 tsp,½ tsp,More than 1 tsp,Too Bland
32,Female,Yes,Other,Daily,Yes,Always,Yes,No,Moderately Important,"Portable design, Adjustable intensity",Maybe,,No Salt,½ tsp,½ tsp,¼ tsp,1 tsp,½ tsp,½ tsp,Too Bland
69,Female,Yes,Hypertension,Daily,Sometimes,Always,Yes,Yes,Moderately Important,"Adjustable intensity, Dietary tracking features",Yes,Price,More than 1 tsp,More than 1 tsp,½ tsp,1 tsp,¼ tsp,½ tsp,¼ tsp,Perfect
38,Male,Yes,Kidney Disease,Rarely,Yes,Sometimes,Yes,Yes,Moderately Important,"Dietary tracking features, Adjustable intensity",No,Safety,¼ tsp,More than 1 tsp,1 tsp,¼ tsp,1 tsp,½ tsp,¼ tsp,Too Salty
64,Male,No,None,Monthly,Yes,Sometimes,Yes,Yes,Not Important,"Adjustable intensity, Portable design",Yes,,1 tsp,1 tsp,1 tsp,¼ tsp,½ tsp,¼ tsp,½ tsp,Too Bland
28,Other,Yes,Kidney Disease,Daily,No,Never,No,Yes,Not Important,"Dietary tracking features, Portable design",No,,1 tsp,¼ tsp,¼ tsp,½ tsp,1 tsp,More than 1 tsp,¼ tsp,Too Bland
27,Other,Yes,None,Daily,Yes,Sometimes,Yes,No,Not Important,"Dietary tracking features, Portable design",Maybe,,1 tsp,1 tsp,¼ tsp,No Salt,More than 1 tsp,No Salt,1 tsp,Perfect
26,Female,No,None,Weekly,Sometimes,Always,Yes,No,Not Important,"Mobile app integration, Adjustable intensity",Maybe,Price,More than 1 tsp,More than 1 tsp,No Salt,1 tsp,1 tsp,¼ tsp,1 tsp,Perfect
68,Female,No,None,Daily,Sometimes,Always,No,No,Not Important,"Adjustable intensity, Portable design",No,Effectiveness,More than 1 tsp,More than 1 tsp,More than 1 tsp,¼ tsp,No Salt,More than 1 tsp,½ tsp,Too Bland
21,Other,No,None,Daily,Yes,Sometimes,No,No,Not Important,"Adjustable intensity, Portable design",No,Safety,More than 1 tsp,No Salt,More than 1 tsp,¼ tsp,¼ tsp,½ tsp,¼ tsp,Too Bland
25,Other,No,None,Weekly,Sometimes,Always,No,No,Moderately Important,"Dietary tracking features, Portable design",Yes,,½ tsp,½ tsp,1 tsp,1 tsp,More than 1 tsp,More than 1 tsp,No Salt,Too Salty
63,Other,No,None,Rarely,Sometimes,Sometimes,Yes,Yes,Moderately Important,"Adjustable intensity, Dietary tracking features",No,Safety,½ tsp,No Salt,No Salt,¼ tsp,½ tsp,No Salt,¼ tsp,Too Salty
27,Male,Yes,Other,Rarely,Sometimes,Never,Yes,No,Moderately Important,"Dietary tracking features, Portable design",Maybe,,½ tsp,¼ tsp,No Salt,No Salt,¼ tsp,More than 1 tsp,½ tsp,Too Salty
55,Female,No,None,Rarely,Sometimes,Never,No,No,Moderately Important,"Portable design, Dietary tracking features",Yes,Effectiveness,¼ tsp,1 tsp,½ tsp,½ tsp,No Salt,¼ tsp,½ tsp,Too Salty
47,Male,Yes,Other,Weekly,Yes,Never,Yes,Yes,Very Important,"Adjustable intensity, Dietary tracking features",No,Safety,1 tsp,½ tsp,½ tsp,¼ tsp,¼ tsp,More than 1 tsp,No Salt,Too Bland
38,Female,Yes,Other,Rarely,Sometimes,Always,No,Yes,Very Important,"Dietary tracking features, Portable design",Yes,Price,½ tsp,¼ tsp,No Salt,More than 1 tsp,More than 1 tsp,½ tsp,½ tsp,Too Salty
36,Other,Yes,None,Monthly,Sometimes,Always,No,Yes,Very Important,"Adjustable intensity, Portable design",Yes,Price,More than 1 tsp,¼ tsp,1 tsp,½ tsp,No Salt,½ tsp,No Salt,Too Bland
59,Male,Yes,Other,Weekly,Yes,Always,No,Yes,Not Important,"Dietary tracking features, Adjustable intensity",No,Effectiveness,More than 1 tsp,More than 1 tsp,More than 1 tsp,No Salt,½ tsp,1 tsp,¼ tsp,Too Bland
45,Female,No,None,Monthly,Yes,Sometimes,No,No,Moderately Important,"Dietary tracking features, Mobile app integration",Yes,Safety,1 tsp,1 tsp,1 tsp,½ tsp,¼ tsp,1 tsp,1 tsp,Perfect
55,Other,Yes,Kidney Disease,Weekly,No,Sometimes,No,Yes,Not Important,"Dietary tracking features, Adjustable intensity",Yes,Price,½ tsp,1 tsp,¼ tsp,More than 1 tsp,1 tsp,More than 1 tsp,¼ tsp,Perfect
29,Female,No,None,Rarely,Yes,Sometimes,No,No,Not Important,"Dietary tracking features, Adjustable intensity",Yes,,¼ tsp,½ tsp,½ tsp,1 tsp,No Salt,½ tsp,1 tsp,Perfect
49,Other,Yes,Hypertension,Daily,No,Sometimes,Yes,No,Not Important,"Dietary tracking features, Mobile app integration",No,Effectiveness,1 tsp,No Salt,½ tsp,More than 1 tsp,More than 1 tsp,No Salt,½ tsp,Perfect
55,Male,Yes,Other,Rarely,Sometimes,Always,No,Yes,Very Important,"Mobile app integration, Portable design",No,Effectiveness,No Salt,½ tsp,½ tsp,More than 1 tsp,No Salt,More than 1 tsp,¼ tsp,Too Bland
29,Male,Yes,Other,Monthly,Sometimes,Sometimes,No,No,Very Important,"Mobile app integration, Adjustable intensity",Yes,Safety,More than 1 tsp,½ tsp,½ tsp,1 tsp,1 tsp,½ tsp,¼ tsp,Perfect
31,Male,Yes,Kidney Disease,Daily,No,Sometimes,Yes,Yes,Very Important,"Adjustable intensity, Portable design",No,Effectiveness,½ tsp,¼ tsp,1 tsp,More than 1 tsp,More than 1 tsp,½ tsp,¼ tsp,Too Bland
37,Male,Yes,Kidney Disease,Weekly,Sometimes,Always,Yes,No,Very Important,"Portable design, Adjustable intensity",Yes,Price,No Salt,No Salt,No Salt,1 tsp,1 tsp,No Salt,¼ tsp,Perfect
20,Other,Yes,None,Daily,No,Always,Yes,No,Not Important,"Adjustable intensity, Dietary tracking features",Yes,Safety,More than 1 tsp,¼ tsp,¼ tsp,½ tsp,No Salt,No Salt,¼ tsp,Too Bland
35,Other,No,None,Monthly,Yes,Never,Yes,Yes,Very Important,"Adjustable intensity, Mobile app integration",Yes,Safety,½ tsp,¼ tsp,More than 1 tsp,No Salt,No Salt,¼ tsp,More than 1 tsp,Too Bland
48,Female,Yes,None,Daily,Yes,Sometimes,No,No,Very Important,"Portable design, Dietary tracking features",Yes,Effectiveness,No Salt,1 tsp,No Salt,More than 1 tsp,¼ tsp,1 tsp,½ tsp,Too Bland
36,Other,Yes,Hypertension,Monthly,No,Always,No,No,Moderately Important,"Mobile app integration, Dietary tracking features",No,Safety,More than 1 tsp,1 tsp,½ tsp,1 tsp,¼ tsp,No Salt,1 tsp,Too Bland
41,Male,Yes,None,Daily,No,Sometimes,Yes,Yes,Very Important,"Dietary tracking features, Portable design",Maybe,,¼ tsp,No Salt,½ tsp,¼ tsp,½ tsp,¼ tsp,More than 1 tsp,Too Salty
25,Male,No,None,Rarely,No,Never,No,No,Moderately Important,"Dietary tracking features, Mobile app integration",Maybe,Price,1 tsp,More than 1 tsp,½ tsp,¼ tsp,1 tsp,No Salt,No Salt,Too Salty
49,Female,Yes,Kidney Disease,Daily,Yes,Never,Yes,Yes,Moderately Important,"Adjustable intensity, Dietary tracking features",No,Effectiveness,¼ tsp,½ tsp,More than 1 tsp,More than 1 tsp,No Salt,No Salt,More than 1 tsp,Too Salty
68,Female,Yes,Other,Rarely,No,Never,No,No,Not Important,"Adjustable intensity, Dietary tracking features",No,,1 tsp,1 tsp,½ tsp,1 tsp,1 tsp,1 tsp,No Salt,Perfect
29,Other,No,None,Weekly,No,Sometimes,Yes,No,Not Important,"Dietary tracking features, Portable design",Yes,Price,More than 1 tsp,More than 1 tsp,More than 1 tsp,1 tsp,1 tsp,More than 1 tsp,¼ tsp,Too Bland
21,Female,No,None,Rarely,Sometimes,Sometimes,No,No,Moderately Important,"Adjustable intensity, Dietary tracking features",Maybe,,¼ tsp,½ tsp,½ tsp,More than 1 tsp,No Salt,½ tsp,1 tsp,Perfect
45,Female,No,None,Rarely,No,Always,Yes,Yes,Very Important,"Mobile app integration, Dietary tracking features",Yes,,½ tsp,No Salt,½ tsp,¼ tsp,No Salt,More than 1 tsp,½ tsp,Perfect
47,Other,No,None,Rarely,No,Always,No,Yes,Moderately Important,"Dietary tracking features, Mobile app integration",No,Effectiveness,More than 1 tsp,No Salt,1 tsp,No Salt,¼ tsp,½ tsp,1 tsp,Too Bland
69,Other,No,None,Weekly,Sometimes,Sometimes,No,No,Very Important,"Dietary tracking features, Mobile app integration",Yes,Safety,½ tsp,½ tsp,No Salt,½ tsp,More than 1 tsp,1 tsp,¼ tsp,Too Bland
65,Male,Yes,Other,Monthly,Yes,Never,No,No,Very Important,"Mobile app integration, Adjustable intensity",Maybe,Effectiveness,More than 1 tsp,½ tsp,1 tsp,More than 1 tsp,½ tsp,¼ tsp,1 tsp,Too Salty
34,Other,No,None,Weekly,Yes,Never,Yes,No,Very Important,"Dietary tracking features, Portable design",Maybe,Price,More than 1 tsp,No Salt,More than 1 tsp,¼ tsp,½ tsp,1 tsp,¼ tsp,Perfect
27,Other,No,None,Rarely,No,Sometimes,Yes,Yes,Moderately Important,"Mobile app integration, Portable design",Maybe,Safety,½ tsp,More than 1 tsp,¼ tsp,1 tsp,¼ tsp,No Salt,¼ tsp,Perfect
19,Male,No,None,Rarely,No,Never,No,No,Not Important,"Adjustable intensity, Dietary tracking features",Yes,Effectiveness,¼ tsp,No Salt,½ tsp,½ tsp,More than 1 tsp,¼ tsp,No Salt,Too Bland
49,Male,Yes,Hypertension,Monthly,Sometimes,Sometimes,Yes,No,Moderately Important,"Adjustable intensity, Portable design",Maybe,Safety,¼ tsp,No Salt,More than 1 tsp,More than 1 tsp,No Salt,More than 1 tsp,More than 1 tsp,Too Bland
34,Female,Yes,Kidney Disease,Daily,No,Sometimes,No,Yes,Moderately Important,"Portable design, Adjustable intensity",Yes,Safety,¼ tsp,½ tsp,1 tsp,1 tsp,½ tsp,More than 1 tsp,No Salt,Too Salty
52,Female,Yes,Other,Rarely,No,Never,Yes,No,Very Important,"Mobile app integration, Portable design",Maybe,Effectiveness,½ tsp,No Salt,More than 1 tsp,No Salt,No Salt,¼ tsp,½ tsp,Too Bland
42,Female,No,None,Daily,Sometimes,Always,No,No,Very Important,"Dietary tracking features, Portable design",No,,¼ tsp,½ tsp,¼ tsp,¼ tsp,1 tsp,½ tsp,1 tsp,Perfect
35,Male,No,None,Rarely,Sometimes,Sometimes,No,No,Very Important,"Portable design, Mobile app integration",No,,½ tsp,1 tsp,More than 1 tsp,More than 1 tsp,½ tsp,1 tsp,No Salt,Perfect
59,Other,Yes,None,Weekly,Yes,Sometimes,Yes,No,Moderately Important,"Adjustable intensity, Dietary tracking features",Yes,Safety,More than 1 tsp,¼ tsp,More than 1 tsp,1 tsp,½ tsp,1 tsp,1 tsp,Too Bland
26,Female,Yes,Other,Monthly,Yes,Always,No,No,Very Important,"Dietary tracking features, Portable design",Maybe,Safety,No Salt,No Salt,More than 1 tsp,More than 1 tsp,¼ tsp,No Salt,1 tsp,Perfect
34,Other,Yes,Hypertension,Rarely,Sometimes,Sometimes,No,Yes,Very Important,"Mobile app integration, Adjustable intensity",Maybe,,No Salt,More than 1 tsp,1 tsp,1 tsp,1 tsp,No Salt,¼ tsp,Too Bland
31,Male,No,None,Monthly,Sometimes,Sometimes,No,Yes,Moderately Important,"Portable design, Mobile app integration",Yes,Effectiveness,¼ tsp,1 tsp,¼ tsp,1 tsp,¼ tsp,No Salt,½ tsp,Too Salty
33,Other,No,None,Weekly,No,Never,No,Yes,Very Important,"Dietary tracking features, Adjustable intensity",No,Price,¼ tsp,1 tsp,1 tsp,More than 1 tsp,½ tsp,No Salt,No Salt,Too Bland
21,Male,No,None,Weekly,No,Sometimes,Yes,Yes,Moderately Important,"Dietary tracking features, Portable design",No,Effectiveness,¼ tsp,More than 1 tsp,No Salt,More than 1 tsp,¼ tsp,½ tsp,¼ tsp,Too Bland
49,Female,No,None,Weekly,Yes,Sometimes,No,Yes,Moderately Important,"Adjustable intensity, Portable design",Yes,Safety,1 tsp,½ tsp,½ tsp,1 tsp,½ tsp,½ tsp,More than 1 tsp,Too Salty
51,Female,No,None,Weekly,No,Never,No,Yes,Not Important,"Dietary tracking features, Adjustable intensity",Yes,Safety,No Salt,¼ tsp,¼ tsp,No Salt,1 tsp,½ tsp,¼ tsp,Too Bland
47,Female,Yes,None,Daily,No,Sometimes,No,No,Moderately Important,"Adjustable intensity, Mobile app integration",Yes,,½ tsp,No Salt,¼ tsp,½ tsp,¼ tsp,¼ tsp,More than 1 tsp,Too Salty
54,Other,Yes,Hypertension,Weekly,No,Always,Yes,No,Not Important,"Adjustable intensity, Portable design",Yes,Effectiveness,No Salt,1 tsp,½ tsp,More than 1 tsp,No Salt,½ tsp,¼ tsp,Perfect
23,Female,No,None,Rarely,Sometimes,Sometimes,Yes,No,Very Important,"Dietary tracking features, Portable design",Maybe,Safety,¼ tsp,No Salt,½ tsp,½ tsp,No Salt,No Salt,More than 1 tsp,Too Bland
42,Male,No,None,Monthly,Yes,Always,No,Yes,Very Important,"Portable design, Adjustable intensity",No,Price,½ tsp,¼ tsp,No Salt,½ tsp,1 tsp,1 tsp,½ tsp,Too Bland
56,Male,No,None,Daily,No,Never,Yes,No,Moderately Important,"Dietary tracking features, Portable design",No,Price,No Salt,1 tsp,½ tsp,More than 1 tsp,¼ tsp,1 tsp,1 tsp,Perfect
20,Other,No,None,Rarely,Sometimes,Always,Yes,No,Not Important,"Adjustable intensity, Portable design",No,Price,No Salt,1 tsp,½ tsp,¼ tsp,¼ tsp,½ tsp,¼ tsp,Too Bland
45,Female,Yes,Hypertension,Daily,Sometimes,Always,No,No,Very Important,"Dietary tracking features, Mobile app integration",Maybe,Effectiveness,½ tsp,½ tsp,More than 1 tsp,No Salt,More than 1 tsp,No Salt,No Salt,Too Bland
60,Female,Yes,Kidney Disease,Rarely,Yes,Always,No,No,Moderately Important,"Dietary tracking features, Mobile app integration",No,Effectiveness,½ tsp,¼ tsp,¼ tsp,¼ tsp,No Salt,More than 1 tsp,½ tsp,Too Bland
24,Female,Yes,Hypertension,Rarely,Yes,Always,Yes,No,Moderately Important,"Dietary tracking features, Mobile app integration",Maybe,Price,½ tsp,More than 1 tsp,More than 1 tsp,½ tsp,1 tsp,½ tsp,No Salt,Perfect
26,Male,Yes,Hypertension,Daily,Sometimes,Always,Yes,Yes,Moderately Important,"Portable design, Mobile app integration",Yes,Price,More than 1 tsp,¼ tsp,No Salt,½ tsp,1 tsp,¼ tsp,1 tsp,Too Salty
19,Male,Yes,Kidney Disease,Rarely,No,Sometimes,Yes,No,Not Important,"Portable design, Adjustable intensity",No,Price,No Salt,½ tsp,No Salt,No Salt,1 tsp,1 tsp,1 tsp,Too Bland
55,Other,No,None,Daily,No,Sometimes,No,No,Very Important,"Adjustable intensity, Mobile app integration",Yes,Price,More than 1 tsp,½ tsp,More than 1 tsp,No Salt,½ tsp,1 tsp,1 tsp,Perfect
49,Other,No,None,Rarely,Sometimes,Sometimes,Yes,Yes,Moderately Important,"Portable design, Dietary tracking features",No,Price,¼ tsp,More than 1 tsp,¼ tsp,More than 1 tsp,½ tsp,More than 1 tsp,1 tsp,Perfect
36,Other,No,None,Rarely,Sometimes,Never,No,No,Very Important,"Portable design, Dietary tracking features",Maybe,,1 tsp,¼ tsp,¼ tsp,¼ tsp,¼ tsp,More than 1 tsp,1 tsp,Perfect
68,Female,No,None,Monthly,Yes,Always,Yes,Yes,Moderately Important,"Mobile app integration, Portable design",Maybe,Safety,¼ tsp,More than 1 tsp,No Salt,No Salt,½ tsp,1 tsp,No Salt,Too Bland
32,Male,Yes,None,Monthly,No,Sometimes,Yes,No,Very Important,"Adjustable intensity, Mobile app integration",Yes,Price,1 tsp,No Salt,No Salt,More than 1 tsp,More than 1 tsp,No Salt,More than 1 tsp,Perfect
50,Male,Yes,Hypertension,Weekly,No,Always,No,No,Not Important,"Dietary tracking features, Mobile app integration",Yes,Safety,½ tsp,½ tsp,¼ tsp,No Salt,¼ tsp,1 tsp,1 tsp,Perfect
33,Female,No,None,Monthly,Sometimes,Always,Yes,No,Moderately Important,"Dietary tracking features, Portable design",Maybe,Safety,¼ tsp,More than 1 tsp,1 tsp,¼ tsp,¼ tsp,1 tsp,1 tsp,Too Salty
47,Other,No,None,Daily,No,Always,Yes,Yes,Very Important,"Mobile app integration, Portable design",No,Safety,1 tsp,No Salt,1 tsp,No Salt,¼ tsp,More than 1 tsp,No Salt,Too Bland
